id,title,avgvote,releaseyear,tagline,budget,revenue,genres
"10003","The Saint","6.3","1997","Never reveal your name. Never turn your back. Never surrender your heart.","68000000","118100000","Action|Adventure|Romance|Science Fiction|Thriller"
"15613","Fire in the Sky","7.3","1993","Alien abduction. November 5, 1975. White Mountains, Northeastern Arizona. Based on the true story.","15000000","19885552","Drama|Horror|Mystery|Thriller"
"100046","The Giant Mechanical Man","5.7","2012",,,,"Comedy|Drama|Romance"
"1562","28 Weeks Later","6.3","2007","When days turn to weeks... the horror returns.","15000000","65100000","Horror|Science Fiction|Thriller"
"44249","The Legend Is Born: Ip Man","6.3","2010",,,"2708867","Action|Drama|History"
"10004","Desperation","6.5","2006","In this town, there are no accidents.","12000000",,"Fantasy|Horror|Thriller"
"15641","Vacancy 2: The First Cut","5.4","2008","If the camera is on, you're dead.","3000000",,"Horror|Thriller"
"10007","See No Evil","5.0","2006","This summer. Evil gets raw.","8000000","18700000","Horror|Thriller"
"44251","Dragon Ball Z: Broly Second Coming","6.1","1994","Broly Is Back!",,"24200000","Action|Animation"
"15648","The Perfect Man","6.0","2005","Is it all too good to be true?",,,"Comedy|Drama|Family|Romance"
"10008","An American Haunting","6.7","2005","Possession Knows No Bounds","14000000","29612137","Horror|Indie|Thriller"
"15653","An Extremely Goofy Movie","5.6","2000",,,,"Animation|Comedy|Family|Sport"
"10009","Brother Bear","6.2","2003","The story of a boy who became a man by becoming a bear.","128000000","250397798","Adventure|Animation|Family|Fantasy"
"15655","The Tigger Movie","6.7","2000",,"30000000","45554533","Animation|Comedy|Drama|Family"
"10010","Brother Bear 2","6.0","2006",,,,"Adventure|Animation|Comedy|Family|Fantasy"
"10012","Cursed","6.8","2004","What doesn't kill you makes you stronger.","35000000","19300000","Comedy|Horror"
"10014","A Nightmare on Elm Street Part 2: Freddy's Revenge","5.8","1985","Someone is coming back to Elm Street!","3000000","30000000","Horror"
"15657","Tarzan II","5.8","2005","The Legend Begins",,,"Adventure|Animation|Family"
"44264","True Grit","6.8","2010","Punishment Comes One Way or Another.","38000000","252300000","Western"
"10015","Heartbreak Ridge","7.1","1986","...the scars run deep.","15000000","42700000","Action|Adventure|Comedy|Drama|War"
"44269","Tout ce qui Brille","6.3","2010",,,,"Comedy"
"10016","Ghosts of Mars","5.3","2001","Terror is the same on any planet.","28000000","14010832","Action|Horror|Science Fiction"
"15658","Flowers in the Attic","7.5","1987","Home sweet home is murder.",,"15151736","Drama|Horror|Mystery|Thriller"
"10017","The Wraith","6.5","1986","He's not from around here...","2700000","3500000","Action|Adventure|Road Movie|Science Fiction|Thriller"
"44363","Frozen","6.0","2010","No one knows you're up there",,"3065860","Thriller"
"10019","Mannequin","6.3","1987","Just because Jonathan's fallen in love with a piece of wood, it doesn't make him a dummy.","6000000","42700000","Comedy|Fantasy|Romance|Science Fiction"
"156597","Stage Fright","6.3","2014","Sing Your Heart Out!",,"7000","Horror|Musical"
"10020","Beauty and the Beast","6.9","1991","The most beautiful love story ever told.","25000000","424967620","Animation|Family"
"4437","2010","6.3","1984","The year a small group of Americans and Russians sat out on the greatest adventure of them all... to see if there is life beyond the stars.","28000000","40400000","Science Fiction|Thriller"
"15659","Foul Play","6.0","1978","It's a highly dangerous comedy!!","5000000","45000000","Comedy|Mystery|Thriller"
"10021","The Secret of My Success","6.5","1987","There's no such thing as an overnight success. Brantley Foster took two weeks.","12000000","110996879","Comedy|Romance"
"44425","Dabangg","6.3","2010",,"9370000",,"Action|Comedy|Crime"
"15668","Xanadu","5.8","1980","A Fantasy, A Musical, A Place Where Dreams Come True.","20000000","22762571","Fantasy|Music|Romance|Science Fiction"
"4442","The Brothers Grimm","5.5","2005","Eliminating Evil Since 1812.","88000000","105300000","Action|Adventure|Comedy|Fantasy|Thriller"
"10022","The Pacifier","5.4","2005","Welcome to the infantry.","56000000","198636868","Action|Comedy|Family"
"156700","The Kings of Summer","7.3","2013","Why live when you can rule.","1500000","1400000","Comedy|Drama"
"10023","Dragnet","6.2","1987","Just The Facts","20000000","66700000","Action|Comedy|Crime"
"44564","The Dilemma","5.5","2011","A little knowledge is a dangerous thing.","70000000","67112664","Comedy|Drama"
"100241","I, Frankenstein","5.6","2014","In the battle between good and evil, an immortal holds the key","65000000","76801179","Horror|Thriller"
"156708","Afternoon Delight","6.5","2013","The cure for the common marriage.",,,"Comedy|Drama"
"10024","My Sister's Keeper","7.0","2009","Based on the Best Selling Novel","30000000","95714875","Drama"
"10025","Just My Luck","5.4","2006","Everything changed in the wink of an eye.","28000000","38159905","Comedy|Drama|Family|Fantasy|Romance"
"445","Caché","6.5","2005",,"8731048","36000000","Action|Drama|Romance|Thriller"
"15670","Madea Goes to Jail","6.9","2009",,"17500000","90508336","Comedy|Crime|Drama"
"100271","A Letter to Momo","8.1","2011",,,"6748712","Animation|Drama"
"156711","Austenland","6.7","2013","I love Mr. Darcy","4900000","2159041","Comedy|Romance"
"44603","Hereafter","5.5","2010","Touched by death. Changed by life.","50000000","107000000","Drama|Fantasy"
"10027","Unleashed","6.4","2005","Serve No Master","45000000","50871113","Action|Crime"
"10028","Honey","5.9","2003","Her dream. Her terms","18000000","62646763","Drama"
"156713","C.O.G.","6.2","2013",,,,"Comedy|Drama"
"44629","Animal Kingdom","7.0","2010","A crime story.","5000000","1000000","Crime|Drama|Thriller"
"10029","Very Bad Things","6.6","1998",,"30000000","9898412","Comedy|Crime|Thriller"
"156717","Death Race: Inferno","5.7","2012","Welcome to the Inferno","6500000",,"Action|Science Fiction|Thriller"
"10030","Good Luck Chuck","5.8","2007","He has to break his curse before she breaks his heart.","25000000","59768495","Comedy|Drama|Fantasy|Romance"
"44639","Inside Job","7.3","2010","The film that cost $20,000,000,000,000 to make.","2000000","7871522","Documentary"
"10032","Van Wilder 2: The Rise of Taj","5.3","2006","The Legend is Growing.",,"6086508","Comedy"
"4464","Seabiscuit","6.3","2003","The hopes of a nation rode on a long shot.","87000000","148300000","Drama|History"
"15691","Doctor Who: The Movie","6.6","1996","The Man. The Myth. The Movie.","5000000","42000000","Adventure|Drama|Science Fiction"
"10033","Just Friends","6.0","2005","He loves her. She loves him not.",,"50817508","Comedy|Romance"
