id,name,birthyear,deathyear
1000083,Herbert Heywood,1881,1964
10000,Gregory Sporleder,1964,
10001,William Wyler,1902,1981
100036,D.W. Griffith,1875,1948
1000391,Ibrahim Ferrer,1927,2005
1000822,TJ Hassan,1981,
1001664,Ananda George,1977,
1001667,Verdi Solaiman,1975,
10017,Charlton Heston,1923,2008
10018,Jack Hawkins,1910,1973
10019,Haya Harareet,1931,
10020,Stephen Boyd,1931,1977
10021,Hugh Griffith,1912,1980
1002283,Poindexter Yothers,1966,
10022,Martha Scott,1912,2003
10023,Cathy O'Donnell,1923,1970
100242,Elize du Toit,1980,
10024,Sam Jaffe,1891,1984
10025,Frank Thring,1926,1994
100263,Jill Andre,1935,
100267,Fred J. Lincoln,1938,
10026,Ady Berber,1913,1966
100276,Mark Soper,1959,
10027,Finlay Currie,1878,1968
1002845,Charles Fitzpatrick,1925,2011
10029,André Morell,1909,1978
100318,James Darren,1936,
100370,Ryan Northcott,1980,
100388,Naomi Foner Gyllenhaal,,
1003,Jean Reno,1948,
100409,Eduardo Fajardo,1924,
1004151,Francesca Rettondini,1971,
1004155,Eugene Osment,1959,
100461,Nicholas Worth,1937,2007
100463,Cliff Bemis,1948,
1004,Danny Aiello,1933,
100516,Max Mayer,,
10051,Tobe Hooper,1943,
100552,Mary Woronov,1943,
10055,Fernanda Montenegro,1929,
100560,Louisa Moritz,1946,
100561,Fred Grandy,1948,
100564,Valérie Quennessen,1957,1989
10057,Marília Pêra,1943,
100586,Jon Foo,1982,
10059,Vinícius de Oliveira,1985,
1005,Peter Appel,1959,
100600,Deborah Harmon,1951,
100602,Julia Duffy,1951,
10061,Othon Bastos,1933,
100653,Vanessa Bell Calloway,1957,
100662,Karina Bacchi,1976,
1006770,Betty McDowall,1924,1993
10068,Akiko Wakabayashi,1941,
10070,Mie Hama,1943,
10071,Tetsurō Tamba,1922,2006
10072,Teru Shimada,1905,1988
10073,Karin Dor,1938,
10074,Charles Gray,1928,2000
10075,Tsai Chin,1936,
100763,Billy Bevan,1887,1957
10076,Lewis Gilbert,1920,
100771,Jodie Markell,1959,
100787,Patrick Barr,1908,1985
100788,Olive Deering,1918,1986
100796,Tor Johnson,1903,1971
100805,Allen Jung,1909,1982
10080,JoBeth Williams,1948,
1008309,Rene Medvesek,1963,
1008366,David Foenkinos,,
10083,Beatrice Straight,1914,2001
10084,Dominique Dunne,1959,1982
1008607,Sophie Nélisse,2000,
10086,Heather O'Rourke,1975,1988
1008866,Ofra Haza,1957,2000
100888,Chuck Jones,1912,2002
10088,Virginia Kiser,1939,
10090,Richard Lawson,1947,
10091,Zelda Rubinstein,1933,2010
1009266,Jarrod Bailey,1996,
100945,James Millican,1910,1955
1009740,Pitbull,1981,
100975,George Pelling,1914,2008
100995,John Kerr,1980,
10099,Park Chan-wook,1963,
100,Scott Speedman,1975,
101012,Lisa LoCicero,1970,
101014,Beatrice Rosen,1977,
101015,Chin Han,1969,
101016,Osric Chau,1986,
101017,Johann Urb,1977,
1010189,Adan Canto,1981,
101028,Michelle Borth,1978,
101033,Mike Pyle,1975,
1010349,Adrienne McQueen,1983,
1010448,Helen Dickson,1892,1956
1010,Michael Badalucco,1954,
1011102,Jesse Lee Soffer,1984,
1011158,Florent-Emilio Siri,1965,
10112,Yoo Ji-Tae,1976,
101130,Barbara Cupisti,1962,
1011510,Robbi Morgan,1961,
101154,Vanessa del Rio,1952,
101172,Michael Cavanaugh,1942,
1011,Susanne Bier,1960,
101219,Heidi Hawkins,1981,
1012319,Giddens Ko,,
1012320,Kai Ko,1991,
1012338,Dominique Davalos,1965,
101247,Adrian Petriw,1987,
101250,Kim Poirier,1980,
101255,Inna Korobkina,1981,
101257,Shawn Michael Howard,1969,
1012752,Erin Way,1987,
10127,Jon Voight,1938,
10128,William Lee Scott,1973,
1012902,Torsten Knippertz,1970,
1012973,Kevin Scott,1928,
1012,Anders Thomas Jensen,1972,
10130,Catherine Kellner,1970,
10131,Sara Rue,1979,
