source,target,role
"10000","18129","Sailor - Spooney"
"10000","664","Willie"
"1000083","596","Gas Station Attendant (uncredited)"
"10000","855","Sgt. Scott Galentine"
"10000","9802","Captain Frye"
"1000391","11779","himself"
"1000822","172803","Jeremy"
"1000822","49520","Kinkabe Lawyer"
"100","10665","James Hoyt"
"100","11679","Agent Kyle Steele"
"1001664","94329","Ari"
"1001667","94329","Budi"
"10017","10549","Player King"
"10017","11123","Stewart Graff"
"10017","11234","Robert Neville"
"10017","11422","Capt. Matthew Garth"
"10017","11969","Henry Hooker"
"10017","11970","Narrator (voice)"
"10017","12101","Detective Robert Thorn"
"10017","1430","Himself - NRA President"
"10017","1480","Ramon Miguel Vargas"
"10017","1685","Taylor"
"10017","2654","Jackson Harglow"
"10017","27932","Alan Murdock"
"10017","2926","Cardinal Richelieu"
"10017","36955","Spencer Trilby"
"10017","665","Judah Ben-Hur"
"10017","6844","Moses"
"10017","869","Zaius"
"10017","871","George Taylor"
"10017","8873","Good Actor"
"10017","95","Narrator"
"10018","14433","Rev. Otto Witt"
"10018","665","Quintus Arrius"
"10018","826","Maj. Warden"
"10018","947","General Lord Edmund Allenby"
"10019","665","Esther"
"10020","2161","Grant"
"10020","665","Messala"
"100","20","Don"
"10021","17917","Magistrate"
"10021","17965","Rabbi"
"10021","3001","Charles Bonnet"
"10021","665","Scheich Ildirim"
"10022","15171","Mrs. Arable"
"10022","27932","Sister Beatrice"
"10022","665","Miriam"
"10022","6844","Yochabel"
"1002283","14822","Crusher"
"10023","665","Tirzah"
"10024","12335","Bookman"
"100","242042","Jay Wheeler"
"100242","37724","Vanessa"
"10024","665","Simonides"
"10024","828","Prof. Jacob Barnhardt"
"10025","665","Pontius Pilatus"
"10025","9355","The Collector"
"100263","28260","Dr. Beers"
"10026","665","Malluch"
"100267","15516","Fred 'Weasel' Podowski"
"10027","665","Balthasar"
"100276","9705","FBI Geek"
"100","277","Michael Corvin"
"1002845","3133","Clerk"
"10029","123","Elrond"
"10029","3175","Lord Gustavos Adolphus Wendover"
"10029","665","Sextus"
"10029","826","Col. Green"
"1003","101","Léon"
"1003","10353","Godefroy de Montmirail"
"1003","10656","Drummer"
"1003","10846","Fuad"
"1003","11619","Le Frog"
"1003","11687","Godefroy de Papincourt"
"1003","12096","Gendarme Gilbert Ponton"
"1003","13652","Maxime - Dubreuil"
"1003","15159","Ponton"
"1003","175","Enzo Molinari"
"100318","10911","Pvt. Spyros Pappadimos"
"1003","19899","Marcel"
"1003","205","Sabena Airlines President, Mr. Tillens"
"1003","2110","Hubert Fiorentini"
"1003","37645","Charly Matteï"
"1003","41411","Dr. David Sheinbaum"
"1003","44754","Ramon"
"1003","4597","Quinn"
"1003","56715","Thibault"
"1003","591","Bezu Face"
"1003","60670","Pierre Niemans"
"1003","60672","commissaire Pierre Niemans"
"100370","15198","Stevie Weeks"
"1003","7229","Ruby"
"1003","8195","Vincent"
"1003","85872","Alexandre Lagarde"
"1003","929","Philippe Roaché"
"1003","9322","Victor"
"1003","94348","Leon Mercier"
"1003","954","Franz Krieger"
"1003","9664","Capt. Thenault"
"100409","14257","Grand d'Espagne"
"1004","101","Tony"
"1004","10849","Monk"
"1004151","9645","Francesca"
"1004155","644","Supernerd"
"1004","186","Roth"
"1004","2039","John Cammareri"
"1004","2291","Louis"
"1004","240","Tony Rosato"
"1004","311","Police Chief Vincent Aiello"
"100461","9556","Pauly"
"100463","14043","Chief McGinnis"
"1004","9085","Phil Cantone"
"1004","925","Sal"
"1004","9292","Tommy Five-Tone"
"1005","101","Malky"
"10051","11428","Forensic Tech"
"1005","402","Detective"
"100552","11342","Channeler"
"100552","13282","Calamity Jane"
"100552","1696","Abbie"
"100552","18462","Audrey"
"100552","25983","Mrs. Ulman"
"100552","8592","Welfare Person"
"10055","40096","Compadecida"
"10055","6639","Transito Ariza"
"10055","666","Dora"
"100560","13282","Myra"
"100561","13282","Herman the German"
"100564","9387","The Princess"
"10057","666","Irene"
"100586","42194","Jin Kazama"
"100586","8982","Wushu Fighter"
"10059","666","Josué"
"100600","105","TV Newscaster (uncredited)"
"100602","11775","Sarah Sorkin"
"10061","666","Cesar"
"100653","11228","Grace Calloway"
"100653","12253","Anita"
"100653","13279","Aunt Dorrie"
"100662","30127","Carla"
"1006770","794","American Secretary"
"10068","667","Aki"
"10070","667","Kissy Suzuki"
"10071","15370","Cat King (voice)"
"10071","17467","Master Zhang Shan-Gui"
"10071","667","Tiger Tanaka"
"100","72570","Jeremy"
"10072","667","Mr. Osato"
"10072","8974","Japanese Diplomat (uncredited)"
"10073","667","Helga Brandt"
"10074","36685","The Criminologist"
"10074","667","Dikko Henderson"
"10074","681","Ernst Stavro Blofeld"
"10075","1904","Auntie"
"10075","36557","Madame Wu"
"10075","667","Ling"
"100763","223","Policeman"
"100763","900","Joe - Bartender (uncredited)"
"100771","9039","Mary McDill"
"100787","700","British Ambassador"
"100788","6844","Miriam"
"100796","10513","Inspector Clay"
"10080","11133","Diane Freeling"
"10080","11431","Maureen Meeks"
"10080","12102","Phyllis Bernard (as Jobeth Williams)"
"10080","12160","Bessie Earp"
"10080","12560","Karen Bowens"
"10080","13067","Agnes Webb"
"10080","21629","Meredith"
"10080","39545","Marion"
"100805","10794","Cook"
"10080","609","Diane Freeling"
"10080","7012","Nurse Nancy Bauer"
"10080","9446","Dr. Patricia Cromwell"
"10080","9876","Lt. Gwen Harper"
"1008309","6623","Vlado Mirich"
"10083","10774","Louise Schumacher"
"100","834","Michael Corvin"
"10083","609","Dr. Lesh"
"10084","609","Dana Freeling"
"1008607","203833","Liesel Meminger"
"1008607","78480","Alice L'Écuyer"
"10086","10306","Carol Anne Freeling"
"10086","11133","Carol Anne Freeling"
"10086","609","Carol Anne Freeling"
"10088","609","Mrs. Tuthill"
"1008866","9837","Yocheved"
"10090","609","Ryan"
"10091","10306","Tangina Barrons"
"10091","10961","Mrs. Collinwood"
"10091","11133","Tangina Barrons"
"10091","15144","Organist"
"10091","609","Tangina Barrons"
"1009266","14913","Henry (young)"
"100945","34106","Policeman (uncredited)"
"1009740","116711","Bufo (voice)"
"100975","12230","Danny"
"100995","10075","Finn"
"1010","101","Mathilda's Father"
"1010","10778","Frank"
"101012","5175","Receptionist"
"1010","134","George Nelson"
"101014","14161","Tamara"
"101014","14844","Gabrielle"
"101014","155","Natascha"
"101015","100402","Councilman Yen"
"101015","14161","Tenzin"
"101015","155","Lau"
"101016","119431","Junjie Chen"
"101016","14161","Nima"
"101017","14161","Sasha"
"101017","173897","Leon S. Kennedy"
"101017","45156","Doug"
