source,target
10001,16085
10001,20139
10001,3001
10001,665
10001,804
100036,618
100388,70706
10051,11343
10051,11954
10051,30497
10051,609
100516,22051
10076,667
10076,691
10076,698
1008366,81342
100888,13377
10099,22536
10099,2440
10099,4550
10099,4689
10099,5488
10099,670
10099,86825
1011,126250
1011158,2026
1011158,85870
1011,44716
1012,1023
1012319,84111
101377,13282
10,14160
101444,127373
101446,127373
101518,28665
101518,67675
101542,211067
101542,25983
101542,28739
101542,58428
101542,84348
101542,87436
1017209,97795
101767,24236
10179,699
10179,700
10179,707
10179,708
10179,709
101915,28764
102033,20677
102033,21452
102033,28808
10230,30508
1023127,100046
102389,197624
102402,26715
102429,24452
1024391,89501
1024441,156597
102445,13554
102557,180371
102560,40096
102560,52345
102561,40823
102634,9264
1027017,101267
1027018,101267
1027737,16690
1027738,16690
1028470,84858
1030363,159004
103150,53172
1031692,118677
1032011,102784
1032,103
1032103,204435
1032,10436
1032,106646
1032,10843
1032,11051
1032,11324
1032,11873
1032,1422
1032,1578
1032,1598
1032,203
1032,2567
1032,262
1032,3131
1032,44826
1032,524
1032536,102651
1032,769
1032,8649
103344,15947
1033844,13761
1034447,215776
1035,109729
1035,12700
1035,6217
1036084,104329
10367,11054
10367,11592
10367,13702
10367,9768
1038,50780
1039527,79316
1039527,84348
1039528,84348
1039529,84348
10395,8669
10400,10269
1040707,119698
1041418,209247
1042011,247645
1044256,80215
1044257,80215
1045176,158999
1046102,13683
1046127,283384
1046142,109417
1046489,84194
1046494,109451
1047318,89638
10491,10802
10491,402
10491,5548
10491,563
10491,861
10491,9075
10491,9383
1051305,111083
10517,961
105239,29917
1053420,111969
1053420,222935
1054391,112304
1055220,101519
1055221,101519
105574,87436
1056121,157354
1056170,112090
1056171,112090
1056311,113082
1056311,13851
105643,123025
105643,142061
105643,14613
105643,183011
105643,217993
105643,242643
105643,65291
105648,147773
1057579,176983
1058,20312
10586,12310
10586,14831
10586,2926
10586,704
10586,8536
10586,9531
1059118,91550
1060,11425
10601,705
10601,8095
10601,993
1060540,39323
1061511,115290
1063900,14543
1066409,95516
1067317,262551
1067794,118406
1068112,118628
106834,15171
106835,15171
1069629,119278
10702,11678
10702,12201
10702,1656
10702,36557
10702,44912
10702,710
10702,9342
10702,9839
107045,13980
10707,11828
10707,4543
10707,583
10707,762
1071,104
1071,1427
1071,2266
1071,4959
1071,83542
1072128,120475
10723,11820
10723,121674
10723,12596
10723,6639
10723,674
10723,712
10723,9366
10723,9543
107274,10948
107274,10957
107274,22586
107274,28302
107274,54113
107395,106938
107395,30923
107395,61872
107446,137106
107446,187017
107446,22794
107446,64688
1074547,36897
1074560,121606
1074666,84185
1074721,121734
107490,31011
1075122,121879
10757,191148
10757,29963
10757,713
10765,10623
10765,10877
10765,15268
10765,2085
107658,26736
10765,8814
107669,31139
107730,57703
1077537,123229
1077548,123235
10781,10130
10781,10140
10781,10491
10781,15163
10781,1945
10781,1957
10781,36643
10781,82684
107855,31261
10790,770
107941,87436
10808,36647
10808,8698
108,1024
108,10779
108,120
108,121
108,122
1081445,125490
108217,19933
108,254
10828,11253
10828,11655
10828,1417
10828,1433
10828,1487
10828,36586
10828,4961
10828,68726
1083453,126963
10847,59117
108486,18911
108,49051
1084905,127533
108536,18438
10855,71469
108,57158
1085904,127867
1085910,127884
1085923,127918
1086408,128136
108,763
108,7980
1088579,129112
1088647,129139
1088681,118737
108952,31967
108952,57089
108,9964
1090,106
1090,10782
1090,1572
1090,1669
1090,1911
1090,562
10907,81342
1090812,94901
1090,9096
1090,913
109095,32293
1090,9593
109153,107170
109154,107170
10921,3112
1092247,130925
1092607,126319
10930,1891
10930,36670
10930,5549
109339,70577
109402,77805
109403,77805
109426,32582
10943,101299
10943,131634
10943,55787
10943,561
10943,6479
109640,13751
10965,11472
10965,14367
10965,1833
10965,19840
10965,2277
10965,32657
10965,671
10965,672
10965,771
10965,772
10965,788
10965,9441
109692,175528
1097098,133369
109745,84184
1098,10030
1098107,133931
1098477,68179
109857,15189
109857,33217
109857,76285
1098658,134366
1099626,172631
1099634,199753
1099914,256284
11012,23202
1101410,238603
1102384,97690
110343,18176
1103,6279
11037,11634
11037,12093
110427,66125
110511,219572
110511,35138
11057,10396
1105712,136403
110695,21334
1107435,137563
1107436,137563
1107980,137968
1108200,138222
110828,110354
1108,5236
1108,68721
110873,14444
110876,33555
110876,92645
1108822,138372
11090,107985
11090,22538
11090,4638
11090,747
11091,10589
11091,12572
11091,184315
11091,2109
11091,36668
11091,5174
11091,5175
11091,59108
11091,5994
11091,87818
11091,9416
11091,9533
1109734,138686
1,11
1110102,139038
1110102,184345
111059,26587
111094,79548
1113116,132232
1114,34480
111448,20760
11151,10024
11151,11036
11151,193610
11151,7457
11151,8470
111588,38542
11161,19185
111686,34016
111686,79697
111699,65650
1117026,191714
111736,151960
111736,25475
11181,10195
11181,10549
11181,11971
11181,137094
11181,3036
11181,4520
11187,11680
11195,14257
11195,25866
11195,760
11195,8290
11201,761
112019,39522
11201,9564
1120694,109445
11218,1391
11218,19101
11218,2266
11218,49047
11218,673
1121891,204553
11218,9410
11218,9693
112193,37050
112193,69938
1122286,97605
112280,16061
112280,87436
112289,34335
112588,16070
1126,108
1126,109
1126,110
1126,1600
11266,22832
11266,4858
11266,70436
11266,752
1128,11236
113225,34806
113273,159095
113285,13377
113373,84340
11343,12444
11343,12445
11343,675
11343,767
1134632,153738
113500,106021
113500,16436
113500,169881
11357,1961
113600,35019
113609,252607
113609,35025
113610,39385
113610,86868
1137903,33511
1138328,157115
1138699,157370
1139058,50275
113911,13851
114001,35217
11401,10835
11401,11471
11401,11782
11401,12100
11401,12289
11401,15384
11401,18305
11401,2019
11401,44092
1140160,158752
11401,754
11401,9208
11401,955
11401,9620
1140271,41602
1140272,158916
1140570,159121
11419,10351
11426,10895
11426,11360
11426,756
11427,15947
11427,3170
11427,756
1142824,170657
11428,3170
11428,756
11429,10340
11429,10895
11429,11224
11429,12092
11429,12230
11429,756
11430,756
11431,756
11432,756
11433,15947
114334,157845
114334,44629
11433,756
11434,10340
11434,10693
11434,11224
11434,12092
11434,13850
11434,756
11435,10785
11435,301
11435,3085
11435,6644
11435,759
11435,900
11435,910
1143671,161321
114404,31867
1144404,137409
1144405,137409
1144604,169813
11447,20504
11447,768
11447,9516
11448,12572
11448,20504
11448,768
11448,9516
11448,98357
114545,34069
114546,34069
114597,35690
114597,54054
1146,1845
1146,84165
11472,11457
11472,14171
11472,1642
1149217,167581
114953,44269
1149583,167575
1149649,158445
1149661,167963
1150,10142
1150,109099
1150,11033
1150,111
1150,11507
1150,11644
1150,117
1150,2067
1150,27327
115033,172803
11505,11814
11505,11894
11505,15144
11505,2108
11505,2609
11505,2616
11505,9377
1150,6075
1150,7340
1150,8688
1150,9280
1150,954
1150,9586
1150,9676
11511,21845
115122,35428
115174,237791
115174,72660
1152,10155
1152,10523
1152,10537
1152,10673
1152,10858
1152,1852
1152,1966
1152,241
1152,2604
1152,33909
11523,775
1152,792
1152,820
1152,82525
1152,9563
1152981,170687
1155518,172828
11572,780
1158156,16866
115892,159037
1159650,177221
1159663,177271
116065,196750
116065,36728
116065,50723
116076,36736
11614,10196
11614,2675
11614,6947
11614,745
11614,82700
11614,8645
11614,9697
11614,9741
1163471,180948
116357,145135
116357,22894
116357,38321
116370,13655
11641,12095
11641,71670
1164376,15139
11649,11068
11649,1903
11649,2028
11649,74465
11649,786
11649,9390
11649,9621
1167069,183836
1167364,184219
1167470,49017
11676,1073
11676,13107
11676,2637
1167724,180147
116779,159622
116802,14859
116805,136795
116805,18147
116805,55721
1168899,64956
1168914,186606
11694,10218
11694,137113
11694,2501
11694,38363
11694,787
11694,8247
11694,9430
117052,16866
1172231,191720
1172541,20604
1172548,1870
1173102,191148
117370,14968
1174031,34636
1174090,192538
1174236,268508
1176212,195423
1176,24684
1176,51828
11770,10016
11770,10061
11770,1091
11770,1103
11770,12122
11770,1410
11770,17814
11770,2654
11770,2687
11770,45657
11770,6978
11770,790
11770,8337
11770,8769
11770,8852
11770,948
11770,9663
11770,9945
11777,10676
11777,18086
11777,2670
117794,37495
1179066,198663
1179494,160070
1179590,199373
11809,10307
11809,13962
11809,791
118303,14139
118303,87436
118369,87436
1183990,201847
118463,40205
1185620,203217
1185788,202220
1186076,262551
118639,37169
118639,74997
118711,151743
118713,229405
11873,10033
11873,11812
11873,13493
11873,35169
11873,5458
11873,796
1187819,209244
1188,113
1188,123377
1188,1280
1188271,205891
11887,11774
11887,18162
11887,795
11887,8839
1,1893
1,1894
1,1895
1190421,20803
119194,37905
119195,37905
1192754,209262
119293,36800
119294,102001
119294,48303
119337,124157
119337,40171
1193446,209901
1193575,210024
1193597,205601
1193602,192132
119368,80038
119406,55846
119417,64678
1194331,236735
1194748,210947
1194749,210947
119665,14223
119819,127501
119819,37737
11983,4024
11983,5544
1199049,172391
119953,262543
120018,226936
120018,38286
120019,38286
120020,38286
120025,38286
1200466,215814
12009,18988
1201,10780
1201,11130
1201,114
12011,15856
1201,13159
1201,15592
120127,231176
120127,35554
120127,53319
1201,32856
1201,4599
1201,4806
1201,62838
1201,9880
120245,155084
120245,38358
12028,11866
12028,13051
12028,47964
12028,8007
12028,806
1204338,205724
1205756,14411
12058,10555
12058,25704
12058,808
120615,34653
12079,45772
1207951,13851
1207953,13851
12079,809
12079,9023
12080,15512
12080,80321
12080,809
120930,38626
12095,109451
12095,51170
12098,58423
12098,810
12099,15854
12099,48466
12099,810
12099,83201
1211000,225565
12112,15050
1211216,174675
12112,811
12114,11778
12114,8348
1212412,14008
1213560,19458
1214381,12914
1215,11024
1215,11355
1215,13499
1215,14405
1215,41513
1215,77931
121588,250349
121588,75198
1215,9600
1215,9637
1215,9714
1216147,72431
1216735,2112
12178,100271
12178,823
12180,10881
12180,12140
12180,14092
12180,15877
12180,9323
121830,38757
121830,82881
1218549,229405
121873,39013
1219210,13539
122186,28609
122186,39100
122186,39101
122186,39103
1222157,31967
1222781,278427
1223,10778
1223,11368
1223,115
1223,11775
1223,11934
1223,12573
1223,134
1223,275
1223,290
1223,378
1223,379
1223,44264
1223,4944
1223,5516
1223,6977
1223735,17898
1223,86829
12238,826
12238,907
12238,947
1223995,191903
1224,10778
1224,11368
1224,11775
1224,11934
1224,12573
1224,134
1224,2266
122423,38810
1224,275
1224,290
122431,39180
1224,378
1224,379
1224425,177494
1224,44264
122449,250766
1224,4944
1224,5516
1224,6977
1224,86829
122965,13396
12300,830
123132,39545
123199,91186
123219,165904
12329,5156
123798,40161
1238965,233063
1238965,94562
1239766,231474
1241,214030
124279,40662
1243,10440
1243,10569
1243,10739
1243,10849
1243,11030
1243,11302
1243,11382
1243,11448
1243,11485
1243,11561
1243,11562
1243,116
1243,11624
1243,11686
1243,160588
1243,19265
1243,229297
1243,2639
1243,2779
1243,38031
1243,4787
1243,5038
1243,512
1243,5143
1243,59436
1243,696
1243,703
1243,81836
1243,9466
1243,9684
1243,9689
1243,9716
12453,11104
12453,11220
12453,18311
12453,18329
12453,1989
12453,40751
12453,44865
12453,843
12453,844
124695,272692
124747,20352
124747,93456
124748,20352
124748,73723
124748,93456
124902,128113
12523,6278
12523,846
12523,9947
12524,8836
