creationDate|source|target
2017-06-12T21:33:32.824+00:00|8796093022669|10995116277890
2017-12-19T01:17:50.126+00:00|8796093022669|13194139533791
2017-07-19T22:21:12.559+00:00|8796093022669|15393162788977
2018-07-24T08:15:07.263+00:00|10995116278486|21990232555743
2018-05-16T03:04:09.893+00:00|10995116278486|26388279067180
2018-08-07T13:41:43.734+00:00|26388279067476|28587302323086
2018-05-24T03:34:38.472+00:00|2199023256090|6597069767513
2017-04-10T00:02:31.914+00:00|2199023256090|13194139533851
2018-01-14T11:38:12.588+00:00|2199023256090|21990232556348
2018-06-03T07:54:09.687+00:00|2199023256090|26388279067433
2018-07-02T08:07:26.224+00:00|19791209300533|21990232556209
2018-07-22T01:30:34.277+00:00|24189255812007|26388279066877
2018-09-09T14:01:17.949+00:00|24189255812007|28587302323175
2018-08-11T11:38:13.301+00:00|433|2199023255913
2018-01-02T23:15:30.201+00:00|433|6597069767009
2017-07-19T07:09:13.994+00:00|433|6597069767551
2018-06-05T13:23:51.097+00:00|433|8796093022487
2017-02-04T18:18:06.999+00:00|433|8796093022898
2017-04-19T16:25:36.461+00:00|433|10995116277879
2017-10-10T18:30:43.908+00:00|433|10995116278351
2017-07-09T19:57:27.141+00:00|433|10995116278486
2018-05-16T08:59:26.684+00:00|433|13194139533996
2018-08-30T20:21:22.474+00:00|433|13194139534202
2018-05-29T01:58:43.138+00:00|433|15393162789194
2017-08-24T19:45:10.831+00:00|433|15393162789857
2018-05-26T16:25:25.300+00:00|433|19791209300766
2018-03-19T22:58:20.455+00:00|433|19791209300919
2018-06-13T21:19:47.378+00:00|433|24189255811094
2018-09-04T06:24:44.240+00:00|433|24189255811545
2018-05-28T02:14:39.334+00:00|433|24189255811864
2018-03-09T01:21:20.190+00:00|433|24189255811938
2017-05-29T08:36:49.376+00:00|2199023255972|2199023256081
2017-06-15T18:31:33.040+00:00|2199023255972|6597069767105
2018-05-23T22:56:00.751+00:00|2199023255972|6597069767336
2018-03-23T16:38:59.221+00:00|2199023255972|6597069767513
2017-11-11T10:50:58.526+00:00|2199023255972|8796093023087
2017-03-30T22:17:07.717+00:00|2199023255972|10995116277976
2018-01-19T05:47:27.705+00:00|2199023255972|13194139533764
2017-09-15T18:52:03.657+00:00|2199023255972|15393162789005
2018-07-30T23:46:23.792+00:00|2199023255972|15393162789857
2017-10-19T20:42:23.207+00:00|2199023255972|17592186044566
2018-07-12T08:37:35.467+00:00|2199023255972|17592186044692
2018-08-01T22:58:58.774+00:00|2199023255972|17592186044730
2018-07-05T19:08:30.974+00:00|2199023255972|21990232556064
2018-08-29T13:02:08.991+00:00|2199023255972|24189255811094
2018-06-13T03:27:09.987+00:00|2199023255972|26388279066716
2018-07-16T03:28:24.320+00:00|2199023255972|28587302322785
2018-01-09T03:21:16.519+00:00|4398046511409|4398046511651
2017-11-14T08:17:05.488+00:00|4398046511409|6597069766696
2016-11-08T23:49:38.619+00:00|4398046511409|6597069767087
2017-08-24T20:04:11.756+00:00|4398046511409|10995116277891
2018-08-31T06:08:21.423+00:00|4398046511409|13194139533510
2017-08-30T05:36:05.765+00:00|4398046511409|17592186045147
2018-08-14T00:19:32.091+00:00|4398046511409|24189255811387
2018-03-28T08:44:11.611+00:00|4398046511614|6597069767251
2016-11-21T19:09:29.563+00:00|4398046511614|6597069767337
2017-12-09T05:54:58.836+00:00|4398046511614|8796093022669
2018-04-14T08:44:37.428+00:00|4398046511614|10995116277827
2017-04-08T16:54:45.904+00:00|4398046511614|10995116278351
2017-08-02T22:56:27.086+00:00|4398046511614|13194139533742
2017-06-18T07:42:02.090+00:00|4398046511614|13194139534277
2018-08-03T11:58:50.504+00:00|4398046511614|17592186044461
2018-01-13T16:57:25.192+00:00|4398046511614|21990232555548
2018-08-31T15:57:33.197+00:00|4398046511614|21990232556273
2018-09-10T08:02:16.112+00:00|4398046511614|26388279066966
2018-06-23T07:59:04.897+00:00|4398046511614|26388279067299
2018-08-19T20:03:32.803+00:00|4398046511614|28587302322208
2018-09-04T00:49:08.223+00:00|4398046511614|28587302322486
2017-09-25T16:25:37.282+00:00|17592186044575|17592186044897
2018-01-26T18:10:39.039+00:00|17592186044575|21990232556348
2018-08-31T09:10:41.787+00:00|17592186044575|24189255811956
2018-07-01T07:00:27.926+00:00|17592186044985|17592186044994
2018-05-13T00:01:32.708+00:00|17592186044985|19791209300950
2018-06-02T13:02:43.948+00:00|17592186044985|21990232556440
2018-04-09T15:05:35.576+00:00|19791209300294|21990232555764
2018-02-13T06:39:24.980+00:00|19791209300294|21990232556348
2018-09-04T07:57:10.259+00:00|26388279067180|26388279067278
2018-09-12T08:49:53.294+00:00|26388279067180|28587302322762
2017-10-20T09:49:25.455+00:00|2199023255572|2199023255913
2018-03-12T18:50:28.884+00:00|2199023255572|6597069766696
2017-09-28T04:08:50.276+00:00|2199023255572|17592186044425
2018-08-26T10:24:49.720+00:00|2199023255572|17592186044897
2018-04-20T04:17:45.597+00:00|2199023255572|24189255811387
2017-10-19T12:43:28.995+00:00|6597069766888|10995116277827
2018-01-12T12:46:40.772+00:00|6597069766888|10995116278574
2017-10-24T22:47:28.840+00:00|6597069766888|10995116278645
2017-07-06T12:55:58.051+00:00|6597069766888|13194139533313
2018-08-30T18:38:09.193+00:00|6597069766888|15393162789160
2017-08-26T00:43:50.461+00:00|6597069766888|15393162789430
2018-04-27T15:55:29.280+00:00|6597069766888|15393162789691
2018-05-11T22:42:33.834+00:00|6597069766888|17592186045075
2018-04-02T01:16:53.556+00:00|6597069766888|19791209300111
2018-08-15T15:59:58.147+00:00|6597069766888|19791209300225
2018-02-18T13:15:20.114+00:00|6597069766888|19791209300402
2018-05-07T10:24:05.538+00:00|6597069766888|19791209300925
2018-03-13T22:48:38.461+00:00|6597069766888|24189255811150
2018-05-15T00:28:42.855+00:00|6597069766888|24189255811531
2018-07-07T02:42:19.621+00:00|6597069766888|26388279067158
2018-06-04T11:32:10.883+00:00|6597069766888|26388279067579
2017-09-05T17:01:34.496+00:00|13194139534281|15393162789228
2018-05-12T16:05:50.384+00:00|13194139534281|17592186044715
2018-05-21T04:04:12.853+00:00|13194139534281|21990232556184
2018-08-12T02:23:07.277+00:00|19791209300227|21990232556197
2018-04-22T14:41:19.509+00:00|19791209300227|24189255811531
2018-07-28T19:34:54.562+00:00|19791209300227|24189255811932
2018-08-01T00:58:44.651+00:00|19791209300227|24189255811961
2018-06-08T06:30:52.641+00:00|19791209300227|26388279066782
2018-08-11T01:01:31.600+00:00|19791209300950|21990232556064
2018-09-07T22:34:40.464+00:00|19791209300950|28587302322276
2017-06-12T05:25:02.248+00:00|406|13194139533791
2018-04-01T06:41:45.155+00:00|978|4398046511651
2017-10-14T00:58:50.296+00:00|978|4398046511852
